,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,marker,interview opinion discrete,interview prep hours discrete
294,Non-Rural,74,67,80,73.66666667,75.25,Griffith University,6.76,75.25,CSP,1.0,Yes,,,,,,0,0,0,4th,Tier 3,Yes,Poorly,"
",2022,,,CSP,2,
295,Rural,62,70,55,62.33333333,60.5,Deakin University,6.5,60.5,BMP,1.0,Yes,,,,,,12,0,0,4th,,Yes,Well,"
",2022,,,BMP,4,
296,Non-Rural,63,71,63,65.66666667,65.0,,,,,,,The University of Notre Dame Sydney,6.5,65.66666667,"['CSP', 'BMP']",3.0,2,0,0,,,,Very well,"
",2022,,,"['CSP', 'BMP']",5,
297,Rural,51,62,67,60.0,61.75,The University of Queensland (RMP),7.0,60.0,CSP,1.0,Yes,,,,,,0,0,0,,Tier 2,Yes,Very well,"
",2022,,,CSP,5,
298,Non-Rural,60,69,68,65.66666667,66.25,The University of Notre Dame Sydney,6.635,65.66666667,FFP,2.0,Yes,,,,,,0,0,0,,Tier 3,Yes,Very well,"above average portfolio however i think it was my interview that allowed me to get a spot.
",2022,,,FFP,5,
299,Non-Rural,60,70,71,67.0,68.0,Australian National University,6.85,68.0,CSP,3.0,No,The University of Queensland (Metro),7.0,67.0,"['CSP', 'BMP']",2.0,0,2,0,1st,Tier 3,Yes,Unsure,"
",2022,,,CSP,3,
300,Rural,60,64,60,61.33333333,61.0,The University of Western Australia,7.0,61.0,CSP,2.0,No,The University of Notre Dame Fremantle,6.0,61.33333333,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,No,Poorly,"phd
",2022,,,CSP,2,
301,Non-Rural,75,70,68,71.0,70.25,Deakin University,6.15,70.25,CSP,4.0,No,The University of Wollongong,5.5,70.25,"['CSP', 'BMP']",3.0,4,2,0,2nd,,Unsure,Well,"
",2022,,,CSP,4,
302,Non-Rural,63,60,77,66.66666667,69.25,Macquarie University,7.0,69.25,FFP,2.0,Yes,,,,,,0,0,0,,,Unsure,Well,"
",2022,,,FFP,4,
303,Non-Rural,67,72,61,66.66666667,65.25,,,,,,,The University of Notre Dame Sydney,6.625,66.66666667,"['CSP', 'BMP']",3.0,2,0,0,,,,Very well,"
",2022,,,"['CSP', 'BMP']",5,
304,Non-Rural,70,76,76,74.0,74.5,The University of Melbourne,6.56,74.0,FFP,1.0,Yes,,,,,,0,0,0,,,No,Unsure,"
",2022,,,FFP,3,
305,Rural,62,65,74,67.0,68.75,Griffith University,6.375,68.75,CSP,1.0,Yes,,,,,,0,0,0,2nd,,Yes,Well,"
",2022,,,CSP,4,
306,Non-Rural,80,79,69,76.0,74.25,The University of Melbourne,6.88,76.0,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Poorly,"also received offer at usyd
",2022,,,CSP,2,
307,Non-Rural,59,67,69,65.0,66.0,The University of Melbourne,6.738,65.0,CSP,6.0,No,Australian National University,6.781,66.0,"['CSP', 'BMP']",1.0,2,4,0,,,Yes,Unsure,"
",2022,,,CSP,3,
308,Non-Rural,66,75,74,71.66666667,72.25,Australian National University,6.92,72.25,CSP,2.0,No,The University of Wollongong,5.5,72.25,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,2nd,,No,Well,"
",2022,,,CSP,4,
309,Non-Rural,61,65,77,67.66666667,70.0,,,,,,,The University of Western Australia,6.854,70.0,"['CSP', 'BMP']",6.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
310,Non-Rural,65,79,93,79.0,82.5,The University of Melbourne,6.444,79.0,CSP,1.0,Yes,,,,,,0,0,0,,,Unsure,Poorly,"
",2022,,,CSP,2,
311,Non-Rural,63,76,72,70.33333333,70.75,The University of Melbourne,6.875,70.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,CSP,3,
312,Non-Rural,65,67,63,65.0,64.5,,,,,,,The University of Notre Dame Fremantle,6.9132,65.0,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,2nd,,,Unsure,"wa resident, strongish portfolio in my opinion
",2022,,,"['CSP', 'BMP', 'FFP']",3,
313,Non-Rural,63,65,65,64.33333333,64.5,,,,,,,The University of Queensland (Metro),7.0,64.33333333,"['CSP', 'BMP']",1.0,0,2,0,,Tier 3,,Well,"
",2022,,,"['CSP', 'BMP']",4,
314,Non-Rural,74,67,62,67.66666667,66.25,,,,,,,The University of Queensland (Metro),7.0,67.66666667,"['CSP', 'BMP', 'FFP']",1.0,4,2,0,,Tier 3,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
315,Rural,60,60,68,62.66666667,64.0,The University of Melbourne,6.875,62.66666667,BMP,1.0,Yes,,,,,,0,0,0,,,No,Poorly,"
",2022,,,BMP,2,
316,Non-Rural,62,80,57,66.33333333,64.0,,,,,,,The University of Queensland (Metro),7.0,66.33333333,"['CSP', 'BMP']",1.0,0,2,0,2nd,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
317,Rural,56,68,52,58.66666667,57.0,The University of Notre Dame Fremantle,5.86,58.66666667,BMP,1.0,Yes,,,,,,12,0,0,,,Yes,Well,"wa resident, strong portfolio
",2022,,,BMP,4,
318,Non-Rural,79,76,76,77.0,76.75,,,,,,,The University of Melbourne,6.1,77.0,"['CSP', 'BMP']",5.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
319,Rural,75,80,65,73.33333333,71.25,The University of Notre Dame Fremantle,6.7,73.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"slightly above average portfolio (tough to tell), wa resident bonus
",2022,,,CSP,4,
320,Non-Rural,60,61,57,59.33333333,58.75,,,,,,,Deakin University,7.0,58.75,"['CSP', 'BMP']",1.0,10,0,0,4th,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
321,Non-Rural,62,68,90,73.33333333,77.5,The University of Melbourne,7.0,73.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Poorly,"no.
",2022,,,CSP,2,
322,Non-Rural,69,77,89,78.33333333,81.0,,,,,,,The University of Melbourne,6.854,78.33333333,"['CSP', 'BMP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
323,Rural,57,72,67,65.33333333,65.75,The University of Melbourne,5.9,65.33333333,BMP,1.0,Yes,,,,,,8,0,0,,,Unsure,Unsure,"gam
",2022,,,BMP,3,
324,Non-Rural,71,75,75,73.66666667,74.0,,,,,,,The University of Queensland (Metro),7.0,73.66666667,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP', 'FFP']",4,
325,Non-Rural,55,59,61,58.33333333,59.0,The University of Notre Dame Sydney,6.969,58.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,No,Unsure,"
",2022,,,CSP,3,
326,Non-Rural,65,78,55,66.0,63.25,The University of Notre Dame Fremantle,6.47,66.0,CSP,1.0,Yes,,,,,,2,0,0,,,Yes,Well,"above average portfolio/life experience demonstrated
",2022,,,CSP,4,
327,Non-Rural,58,61,70,63.0,64.75,,,,,,,Macquarie University,6.83,64.75,"['CSP', 'BMP', 'FFP']",3.0,0,0,3,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
328,Non-Rural,73,71,70,71.33333333,71.0,The University of Melbourne,6.938,71.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Unsure,Poorly,"
",2022,,,CSP,2,
329,Non-Rural,65,65,65,65.0,65.0,Deakin University,6.7,65.0,CSP,4.0,No,The University of Queensland (Metro),7.0,65.0,"['CSP', 'BMP', 'FFP']",1.0,4,0,0,3rd,Tier 3,Yes,Well,"
",2022,,,CSP,4,
330,Non-Rural,66,65,93,74.66666667,79.25,Griffith University,7.0,79.25,CSP,1.0,Yes,,,,,,0,0,0,,,No,Very poorly,"
",2022,,,CSP,1,
331,Non-Rural,60,61,83,68.0,71.75,The University of Melbourne,6.63,68.0,CSP,5.0,No,Griffith University,7.0,71.75,"['CSP', 'BMP']",1.0,0,4,0,,,Yes,Poorly,"phd
",2022,,,CSP,2,
332,Non-Rural,75,66,70,70.33333333,70.25,,,,,,,The University of Western Australia,6.62,70.25,"['CSP', 'BMP', 'FFP']",6.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
333,Non-Rural,57,67,58,60.66666667,60.0,The University of Notre Dame Sydney,6.92,60.66666667,FFP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,FFP,3,
334,Non-Rural,66,82,67,71.66666667,70.5,The University of Melbourne,6.863,71.66666667,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,CSP,3,
335,Non-Rural,58,64,74,65.33333333,67.5,,,,,,,The University of Queensland (Metro),6.957,65.33333333,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,,Tier 3,,Poorly,"uq central queensland-wide bay rmp applicant
",2022,,,"['CSP', 'BMP', 'FFP']",2,
336,Non-Rural,64,79,75,72.66666667,73.25,The University of Melbourne,6.937,72.66666667,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Poorly,"
",2022,,,CSP,2,
337,Non-Rural,63,74,73,70.0,70.75,Australian National University,6.958,70.75,CSP,2.0,No,The University of Melbourne,6.95,70.0,"['CSP', 'BMP']",1.0,2,2,0,,,No,Unsure,"gam
",2022,,,CSP,3,
338,Non-Rural,64,68,82,71.33333333,74.0,,,,,,,The University of Queensland (Metro),6.6,71.33333333,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,,Tier 3,,Well,"above average portfolio
",2022,,,"['CSP', 'BMP', 'FFP']",4,
339,Rural,61,57,69,62.33333333,64.0,,,,,,,The University of Queensland (Metro),6.2,62.33333333,"['CSP', 'BMP']",1.0,0,0,0,,,,Well,"interviewed for metro
",2022,,,"['CSP', 'BMP']",4,
340,Non-Rural,65,89,62,72.0,69.5,Deakin University,6.615,69.5,CSP,4.0,Yes,,,,,,6,0,0,,,No,Well,"
",2022,,,CSP,4,
341,Rural,60,69,77,68.66666667,70.75,,,,,,,The University of Wollongong,5.5,70.75,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,4th,,,Well,"pretty good portfolio
",2022,,,"['CSP', 'BMP', 'FFP']",4,
342,Non-Rural,72,57,77,68.66666667,70.75,Deakin University,6.813,70.75,BMP,3.0,No,Griffith University,6.745,70.75,"['CSP', 'BMP']",2.0,6,0,0,,,Yes,Unsure,"
",2022,,,BMP,3,
343,Non-Rural,63,80,65,69.33333333,68.25,,,,,,,The University of Melbourne,7.0,69.33333333,"['CSP', 'BMP']",1.0,2,0,0,,,,Poorly,"
",2022,,,"['CSP', 'BMP']",2,
344,Non-Rural,69,59,92,73.33333333,78.0,The University of Melbourne,6.9,73.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"
",2022,,,CSP,4,
345,Non-Rural,58,63,72,64.33333333,66.25,Macquarie University,6.833,66.25,FFP,5.0,No,The University of Queensland (Metro),7.0,64.33333333,"['CSP', 'BMP', 'FFP']",2.0,2,2,0,4th,Tier 3,Yes,Unsure,"applied for gam, interviewed for uq rmp, got passed down to mq
",2022,,,FFP,3,
346,Non-Rural,74,75,61,70.0,67.75,,,,,,,The University of Queensland (Metro),6.3,70.0,"['CSP', 'BMP', 'FFP']",1.0,2,0,0,,Tier 3,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
347,Non-Rural,59,68,57,61.33333333,60.25,The University of Notre Dame Sydney,6.979,61.33333333,CSP,3.0,Yes,,,,,,6,0,0,3rd,,Yes,Unsure,"above average portfolio - consistent experiences in the following: disability care, allied health roles, leadership roles, volunteering (domestic and international projects)
",2022,,,CSP,3,
348,Non-Rural,57,79,74,70.0,71.0,The University of Melbourne,6.94,70.0,CSP,1.0,Yes,,,,,,0,0,0,4th,Tier 3,Yes,Very poorly,"gam, personal difficulties
",2022,,,CSP,1,
349,Non-Rural,64,71,66,67.0,66.75,Griffith University,6.844,66.75,CSP,3.0,No,The University of Queensland (Metro),6.844,67.0,['CSP'],2.0,2,0,0,,Tier 3,Yes,Well,"
",2022,,,CSP,4,
350,Non-Rural,86,76,77,79.66666667,79.0,Australian National University,6.65,79.0,CSP,1.0,Yes,,,,,,0,2,0,,,Yes,Unsure,"
",2022,,,CSP,3,
351,Non-Rural,60,61,83,68.0,71.75,,,,,,,Griffith University,6.6,71.75,"['CSP', 'BMP']",2.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
352,Non-Rural,67,60,73,66.66666667,68.25,,,,,,,The University of Queensland (Metro),7.0,66.66666667,['CSP'],2.0,0,2,0,,,,Well,"
",2022,,,['CSP'],4,
353,Non-Rural,62,68,78,69.33333333,71.5,Macquarie University,6.814,71.5,FFP,1.0,Yes,,,,,,2,0,0,4th,,Yes,Well,"above average portfolio
",2022,,,FFP,4,
354,Non-Rural,65,66,70,67.0,67.75,Griffith University,6.8269,67.75,BMP,4.0,No,The University of Queensland (Metro),6.8296,67.0,"['CSP', 'BMP']",3.0,0,0,0,,,Yes,Poorly,"
",2022,,,BMP,2,
355,Non-Rural,70,69,65,68.0,67.25,,,,,,,The University of Notre Dame Sydney,6.688,68.0,"['CSP', 'BMP', 'FFP']",2.0,0,2,0,2nd,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
356,Non-Rural,67,66,71,68.0,68.75,Macquarie University,6.895,68.75,FFP,6.0,No,Griffith University,6.895,68.75,"['CSP', 'BMP', 'FFP']",2.0,0,0,0,,,Unsure,Well,"
",2022,,,FFP,4,
357,Non-Rural,67,78,79,74.66666667,75.75,Deakin University,6.448,75.75,CSP,4.0,Yes,,,,,,2,0,0,1st,,Yes,Unsure,"
",2022,,,CSP,3,
358,Non-Rural,68,88,61,72.33333333,69.5,The University of Melbourne,6.95,72.33333333,CSP,1.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,CSP,3,
359,Non-Rural,56,61,64,60.33333333,61.25,Macquarie University,7.0,61.25,FFP,1.0,Yes,,,,,,0,0,3,4th,,Yes,Unsure,"
",2022,,,FFP,3,
360,Rural,64,55,57,58.66666667,58.25,Deakin University,6.396824167,58.25,BMP,1.0,Yes,,,,,,8,0,0,,,Yes,Well,"south west victorian applicant(warrnambool) - priority 1 rural offer
",2022,,,BMP,4,
361,Non-Rural,69,68,72,69.66666667,70.25,Deakin University,6.708,70.25,BMP,3.0,No,The University of Wollongong,5.5,70.25,"['CSP', 'BMP']",1.0,0,2,0,3rd,,No,Unsure,"
",2022,,,BMP,3,
362,Non-Rural,65,74,73,70.66666667,71.25,Deakin University,6.8,71.25,CSP,3.0,No,The University of Queensland (Metro),6.7232,70.66666667,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,Tier 3,Yes,Well,"
",2022,,,CSP,4,
363,Non-Rural,65,79,67,70.33333333,69.5,The University of Queensland (Metro),6.7,70.33333333,CSP,5.0,Yes,,,,,,0,0,0,4th,,Yes,Poorly,"
",2022,,,CSP,2,
364,Rural,60,64,65,63.0,63.5,The University of Melbourne,6.963,63.0,BMP,1.0,Yes,,,,,,10,2,0,,,Yes,Unsure,"
",2022,,,BMP,3,
365,Non-Rural,61,79,53,64.33333333,61.5,Deakin University,6.9,61.5,CSP,4.0,No,The University of Wollongong,5.5,61.5,"['CSP', 'BMP']",1.0,2,0,0,4th,,Yes,Very well,"
",2022,,,CSP,5,
366,Non-Rural,82,78,80,80.0,80.0,The University of Melbourne,6.9,80.0,CSP,1.0,Yes,,,,,,0,4,0,,,Yes,Very well,"unclear if having a phd in chem boosted my gpa at uom
",2022,,,CSP,5,
367,Non-Rural,54,80,57,63.66666667,62.0,The University of Notre Dame Sydney,6.8,63.66666667,CSP,1.0,Yes,,,,,,0,0,0,1st,,Yes,Very well,"registered nurse, strong portfolio and interview as a result
",2022,,,CSP,5,
368,Non-Rural,64,72,87,74.33333333,77.5,The University of Melbourne,6.688,74.33333333,CSP,3.0,No,The University of Wollongong,5.5,77.5,['CSP'],2.0,0,0,0,3rd,,Yes,Well,"below average portfolio
",2022,,,CSP,4,
369,Non-Rural,63,64,99,75.33333333,81.25,The University of Melbourne,6.73,75.33333333,CSP,2.0,No,The University of Queensland (Metro),6.77,75.33333333,"['CSP', 'BMP']",1.0,0,0,0,,,Yes,Very well,"
",2022,,,CSP,5,
370,Non-Rural,64,64,70,66.0,67.0,The University of Notre Dame Sydney,6.389,66.0,FFP,1.0,Yes,,,,,,0,0,0,1st,,Yes,Unsure,"
",2022,,,FFP,3,
371,Non-Rural,63,73,72,69.33333333,70.0,The University of Melbourne,6.963,69.33333333,FFP,2.0,Yes,,,,,,0,0,0,,,Yes,Unsure,"
",2022,,,FFP,3,
372,Non-Rural,69,70,72,70.33333333,70.75,The University of Melbourne,7.0,70.33333333,FFP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"
",2022,,,FFP,4,
373,Non-Rural,66,79,63,69.33333333,67.75,Deakin University,6.9,67.75,CSP,1.0,Yes,,,,,,6,0,0,,,Yes,Well,"
",2022,,,CSP,4,
374,Non-Rural,60,75,72,69.0,69.75,Griffith University,6.55,69.75,BMP,1.0,Yes,,,,,,0,2,0,,Tier 3,Yes,Well,"
",2022,,,BMP,4,
375,Non-Rural,62,73,58,64.33333333,62.75,,,,,,,The University of Queensland (Metro),7.0,64.33333333,"['CSP', 'BMP', 'FFP']",1.0,0,2,0,,Tier 3,,Well,"rmp
",2022,,,"['CSP', 'BMP', 'FFP']",4,
376,Rural,55,56,57,56.0,56.25,Deakin University,6.8,56.25,BMP,1.0,Yes,,,,,,14,0,0,,,Yes,Well,"my offer is for deakin rural training stream
",2022,,,BMP,4,
377,Rural,55,52,52,53.0,52.75,The University of Queensland (RMP),6.0,53.0,CSP,1.0,Yes,,,,,,0,0,0,,Tier 2,No,Very well,"
",2022,,,CSP,5,
378,Non-Rural,62,73,69,68.0,68.25,Deakin University,6.76,68.25,CSP,3.0,Yes,,,,,,6,0,0,,,Yes,Well,"
",2022,,,CSP,4,
379,Rural,60,56,55,57.0,56.5,The University of Queensland (RMP),5.6,57.0,BMP,3.0,No,The University of Wollongong,5.5,56.5,"['CSP', 'BMP', 'FFP']",1.0,4,0,0,2nd,Tier 2,Yes,Very well,"
",2022,,,BMP,5,
380,Rural,60,63,56,59.66666667,58.75,Deakin University,7.0,58.75,CSP,1.0,Yes,,,,,,14,0,0,1st,,Yes,Well,"rural medical applicant
",2022,,,CSP,4,
381,Non-Rural,65,63,71,66.33333333,67.5,Australian National University,6.59,67.5,CSP,4.0,No,The University of Queensland (Metro),7.0,66.33333333,"['CSP', 'BMP']",3.0,0,2,0,,,Yes,Well,"
",2022,,,CSP,4,
382,Non-Rural,60,78,68,68.66666667,68.5,,,,,,,The University of Queensland (Metro),7.0,68.66666667,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,Tier 3,,Well,"rmp applicant
",2022,,,"['CSP', 'BMP', 'FFP']",4,
383,Non-Rural,69,70,71,70.0,70.25,,,,,,,The University of Melbourne,6.979,70.0,"['CSP', 'BMP']",1.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP']",4,
384,Rural,71,56,65,64.0,64.25,The University of Queensland (RMP),6.1,64.0,CSP,3.0,No,The University of Notre Dame Fremantle,6.1,64.0,"['CSP', 'BMP']",1.0,6,0,0,,Tier 2,Yes,Unsure,"
",2022,,,CSP,3,
385,Rural,62,61,65,62.66666667,63.25,Deakin University,6.406,63.25,BMP,1.0,Yes,,,,,,12,0,0,,,Yes,Unsure,"
",2022,,,BMP,3,
386,Non-Rural,75,63,58,65.33333333,63.5,The University of Notre Dame Sydney,6.83,65.33333333,FFP,1.0,Yes,,,,,,0,0,0,,,Yes,Well,"portfolio strong - phd, work in ngo sector and volunteer role eg for st john ambulance
",2022,,,FFP,4,
387,Non-Rural,61,73,73,69.0,70.0,,,,,,,The University of Melbourne,6.89,69.0,"['CSP', 'BMP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP']",3,
388,Non-Rural,65,73,95,77.66666667,82.0,,,,,,,The University of Melbourne,7.0,77.66666667,"['CSP', 'BMP', 'FFP']",1.0,0,0,0,,,,Unsure,"
",2022,,,"['CSP', 'BMP', 'FFP']",3,
389,Non-Rural,70,74,64,69.33333333,68.0,,,,,,,The University of Western Australia,6.89,68.0,"['CSP', 'BMP', 'FFP']",4.0,0,0,0,,,,Well,"
",2022,,,"['CSP', 'BMP', 'FFP']",4,
390,Non-Rural,58,58,69,61.66666667,63.5,The University of Notre Dame Sydney,6.708,61.66666667,CSP,1.0,Yes,,,,,,0,0,0,2nd,,Yes,Well,"experience as an engineer
",2022,,,CSP,4,
391,Non-Rural,60,75,74,69.66666667,70.75,Griffith University,6.51,70.75,CSP,3.0,Yes,,,,,,0,2,0,,Tier 3,Yes,Very well,"
",2022,,,CSP,5,
392,Non-Rural,63,75,72,70.0,70.5,,,,,,,The University of Melbourne,6.85,70.0,"['CSP', 'BMP', 'FFP']",1.0,0,2,0,,,,Well,"
",2022,,,"['CSP', 'BMP', 'FFP']",4,
